SAMPLE                                        GENE      M2_START    M2_END M2_STR  MF_START    MF_END MF_STR   ΔSTART     ΔEND  MATCH
----------------------------------------------------------------------------------------------------------------------------------
AlVe-LuNov-34-m-2022-2                        ATP6          3559      4236      -     12241     12912      +     8682     8676   DIFF
AlVe-LuNov-34-m-2022-2                        ATP8          4224      4376      -     12095     12247      +     7871     7871   DIFF
AlVe-LuNov-34-m-2022-2                        CYTB         13303     14436      -      2035      3168      +   -11268   -11268   DIFF
AlVe-LuNov-34-m-2022-2                        COX1          5254      6819      -      9652     11217      +     4398     4398   DIFF
AlVe-LuNov-34-m-2022-2                        COX2          4479      5192      -     11279     11956      +     6800     6764   DIFF
AlVe-LuNov-34-m-2022-2                        COX3          2773      3559      -     12912     13694      +    10139    10135   DIFF
AlVe-LuNov-34-m-2022-2                        ND1          12300     13220      +      3251      4201      -    -9049    -9019   DIFF
AlVe-LuNov-34-m-2022-2                        ND2           7046      8020      -      8412      9425      +     1366     1405   DIFF
AlVe-LuNov-34-m-2022-2                        ND3           2358      2711      -     13760     14113      +    11402    11402   DIFF
AlVe-LuNov-34-m-2022-2                        ND4          15346     16684      +         1      1125      -   -15345   -15559   DIFF
AlVe-LuNov-34-m-2022-2                        ND4L         15062     15352      +      1119      1409      -   -13943   -13943   DIFF
AlVe-LuNov-34-m-2022-2                        ND5            281      1999      +     14472     16115      -    14191    14116   DIFF
AlVe-LuNov-34-m-2022-2                        ND6          14436     14939      -      1583      2035      +   -12853   -12904   DIFF
AlVe-LuNov-36-m-2022-4                        ATP6           444      1121      -     15357     16028      +    14913    14907   DIFF
AlVe-LuNov-36-m-2022-4                        ATP8          1109      1261      -     15211     15363      +    14102    14102   DIFF
AlVe-LuNov-36-m-2022-4                        CYTB         10189     11322      -      5150      6283      +    -5039    -5039   DIFF
AlVe-LuNov-36-m-2022-4                        COX1          2139      3704      -     12768     14333      +    10629    10629   DIFF
AlVe-LuNov-36-m-2022-4                        COX2          1364      2077      -     14395     15072      +    13031    12995   DIFF
AlVe-LuNov-36-m-2022-4                        COX3         16129     16915      -     16028     16471      +     -101     -444   DIFF
AlVe-LuNov-36-m-2022-4                        ND1           9186     10106      +      6366      7316      -    -2820    -2790   DIFF
AlVe-LuNov-36-m-2022-4                        ND2           3931      4905      -     11528     12541      +     7597     7636   DIFF
AlVe-LuNov-36-m-2022-4                        ND3          15714     16067      -       405       758      +   -15309   -15309   DIFF
AlVe-LuNov-36-m-2022-4                        ND4          12232     13570      +      2915      4240      -    -9317    -9330   DIFF
AlVe-LuNov-36-m-2022-4                        ND4L         11948     12238      +      4234      4524      -    -7714    -7714   DIFF
AlVe-LuNov-36-m-2022-4                        ND5          13637     15355      +      1117      2760      -   -12520   -12595   DIFF
AlVe-LuNov-36-m-2022-4                        ND6          11322     11825      -      4698      5150      +    -6624    -6675   DIFF
AlVe-LuNov-38-m-2022-6                        ATP6           444      1121      -     15357     16028      +    14913    14907   DIFF
AlVe-LuNov-38-m-2022-6                        ATP8          1109      1261      -     15211     15363      +    14102    14102   DIFF
AlVe-LuNov-38-m-2022-6                        CYTB         10189     11322      -      5150      6283      +    -5039    -5039   DIFF
AlVe-LuNov-38-m-2022-6                        COX1          2139      3704      -     12768     14333      +    10629    10629   DIFF
AlVe-LuNov-38-m-2022-6                        COX2          1364      2077      -     14395     15072      +    13031    12995   DIFF
AlVe-LuNov-38-m-2022-6                        COX3         16129     16915      -     16028     16471      +     -101     -444   DIFF
AlVe-LuNov-38-m-2022-6                        ND1           9186     10106      +      6366      7316      -    -2820    -2790   DIFF
AlVe-LuNov-38-m-2022-6                        ND2           3931      4905      -     11528     12541      +     7597     7636   DIFF
AlVe-LuNov-38-m-2022-6                        ND3          15714     16067      -       405       758      +   -15309   -15309   DIFF
AlVe-LuNov-38-m-2022-6                        ND4          12232     13570      +      2915      4240      -    -9317    -9330   DIFF
AlVe-LuNov-38-m-2022-6                        ND4L         11948     12238      +      4234      4524      -    -7714    -7714   DIFF
AlVe-LuNov-38-m-2022-6                        ND5          13637     15355      +      1117      2760      -   -12520   -12595   DIFF
AlVe-LuNov-38-m-2022-6                        ND6          11322     11825      -      4698      5150      +    -6624    -6675   DIFF
FraBlu-LuIta-10-m-2025-25                     ATP6          2967      3641      -     12829     13503      +     9862     9862   DIFF
FraBlu-LuIta-10-m-2025-25                     ATP8          3635      3790      -     12680     12835      +     9045     9045   DIFF
FraBlu-LuIta-10-m-2025-25                     CYTB         12704     13837      -      2633      3766      +   -10071   -10071   DIFF
FraBlu-LuIta-10-m-2025-25                     COX1          4664      6208      -     10244     11806      +     5580     5598   DIFF
FraBlu-LuIta-10-m-2025-25                     COX2          3890      4603      -     11867     12544      +     7977     7941   DIFF
FraBlu-LuIta-10-m-2025-25                     COX3          2181      2967      -     13503     14285      +    11322    11318   DIFF
FraBlu-LuIta-10-m-2025-25                     ND1          11687     12622      +      3848      4798      -    -7839    -7824   DIFF
FraBlu-LuIta-10-m-2025-25                     ND2           6459      7466      -      8995     10011      +     2536     2545   DIFF
FraBlu-LuIta-10-m-2025-25                     ND3           1766      2119      -     14351     14704      +    12585    12585   DIFF
FraBlu-LuIta-10-m-2025-25                     ND4          14752     16080      +       390      1718      -   -14362   -14362   DIFF
FraBlu-LuIta-10-m-2025-25                     ND4L         14468     14758      +      1712      2002      -   -12756   -12756   DIFF
FraBlu-LuIta-10-m-2025-25                     ND5          16178     17875      +     15064     16467      -    -1114    -1408   DIFF
